app_id,name,website,category,docs_hint
1,Salesforce,https://www.salesforce.com,CRM and Sales,https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_what_is_rest_api.htm
2,HubSpot,https://www.hubspot.com,CRM and Sales,https://developers.hubspot.com/docs/api/overview
3,Pipedrive,https://www.pipedrive.com,CRM and Sales,https://developers.pipedrive.com/docs/api/v1
4,Attio,https://attio.com,CRM and Sales,https://developers.attio.com
5,Twenty,https://twenty.com,CRM and Sales,https://twenty.com/developers
6,Podio,https://www.podio.com,CRM and Sales,https://developers.podio.com
7,Zoho CRM,https://www.zoho.com/crm,CRM and Sales,https://www.zoho.com/crm/developer/docs/api/v7/
8,Close,https://close.com,CRM and Sales,https://developer.close.com
9,Copper,https://www.copper.com,CRM and Sales,https://developer.copper.com
10,DealCloud,https://www.dealcloud.com,CRM and Sales,https://api.docs.dealcloud.com
11,Zendesk,https://www.zendesk.com,Support and Helpdesk,https://developer.zendesk.com/api-reference/
12,Intercom,https://www.intercom.com,Support and Helpdesk,https://developers.intercom.com/docs/references/rest-api/api.intercom.io/
13,Freshdesk,https://freshdesk.com,Support and Helpdesk,https://developers.freshdesk.com/api/
14,Front,https://front.com,Support and Helpdesk,https://dev.frontapp.com
15,Pylon,https://usepylon.com,Support and Helpdesk,https://docs.usepylon.com
16,LiveAgent,https://www.liveagent.com,Support and Helpdesk,
17,Plain,https://www.plain.com,Support and Helpdesk,https://www.plain.com/docs/api-reference/graphql
18,Help Scout,https://www.helpscout.com,Support and Helpdesk,https://developer.helpscout.com
19,Gorgias,https://www.gorgias.com,Support and Helpdesk,https://developers.gorgias.com
20,Gladly,https://www.gladly.com,Support and Helpdesk,https://developer.gladly.com
21,Slack,https://slack.com,Communications and Messaging,https://api.slack.com
22,Twilio,https://www.twilio.com,Communications and Messaging,https://www.twilio.com/docs/usage/api
23,Zoho Cliq,https://www.zoho.com/cliq,Communications and Messaging,https://www.zoho.com/cliq/help/restapi/v2/
24,Lark (Larksuite),https://www.larksuite.com,Communications and Messaging,https://open.larksuite.com/document
25,Pumble,https://pumble.com,Communications and Messaging,
26,Discord,https://discord.com,Communications and Messaging,https://discord.com/developers/docs/intro
27,Telegram,https://telegram.org,Communications and Messaging,https://core.telegram.org/bots/api
28,WhatsApp Business,https://business.whatsapp.com,Communications and Messaging,https://developers.facebook.com/docs/whatsapp
29,Aircall,https://aircall.io,Communications and Messaging,https://developer.aircall.io
30,Vonage,https://www.vonage.com,Communications and Messaging,https://developer.vonage.com/en/documentation
31,Google Ads,https://ads.google.com,"Marketing, Ads, Email and Social",https://developers.google.com/google-ads/api/docs/start
32,Meta Ads,https://www.facebook.com/business,"Marketing, Ads, Email and Social",https://developers.facebook.com/docs/marketing-apis
33,LinkedIn Ads,https://business.linkedin.com/marketing-solutions,"Marketing, Ads, Email and Social",https://learn.microsoft.com/en-us/linkedin/marketing/
34,GoHighLevel,https://www.gohighlevel.com,"Marketing, Ads, Email and Social",https://highlevel.stoplight.io/docs/integrations
35,Mailchimp,https://mailchimp.com,"Marketing, Ads, Email and Social",https://mailchimp.com/developer/marketing/api/
36,Klaviyo,https://www.klaviyo.com,"Marketing, Ads, Email and Social",https://developers.klaviyo.com/en/reference/api_overview
37,systeme.io,https://systeme.io,"Marketing, Ads, Email and Social",
38,Pinterest,https://www.pinterest.com,"Marketing, Ads, Email and Social",https://developers.pinterest.com/docs/api/v5/introduction/
39,Threads (Meta),https://www.threads.net,"Marketing, Ads, Email and Social",https://developers.facebook.com/docs/threads
40,SendGrid,https://sendgrid.com,"Marketing, Ads, Email and Social",https://www.twilio.com/docs/sendgrid/api-reference
41,Shopify,https://www.shopify.com,Ecommerce,https://shopify.dev/docs/api
42,WooCommerce,https://woocommerce.com,Ecommerce,https://woocommerce.com/document/woocommerce-rest-api/
43,BigCommerce,https://www.bigcommerce.com,Ecommerce,https://developer.bigcommerce.com/docs
